id,url,name,type,language,genres,status,runtime,averageRuntime,premiered,ended,officialSite,rating,weight,network,network_name,network_country,network_country_code,webChannel_name,externals,image,summary,Drama,Science-Fiction,Thriller,Action,Crime,Horror,Romance,Adventure,Espionage,Music,Mystery,Supernatural,Fantasy,Family,Anime,Comedy,History,Medical,Legal,Western,War,Sports,Food,Travel,Adult,Children,DIY,Nature
56233,https://www.tvmaze.com/shows/56233/bitva-svatov,Битва сватов,Variety,Russian,[],To Be Determined,60.0,60.0,2021-07-01,,https://matchmakers.friday.ru/videos/s1,,13,"{'id': 377, 'name': 'Пятница', 'country': {'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}, 'officialSite': None}",Пятница,Russian Federation,RU,,"{'tvrage': None, 'thetvdb': None, 'imdb': None}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/336/841407.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/336/841407.jpg'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069,https://www.tvmaze.com/shows/3069/a-mothers-son,A Mother's Son,Scripted,English,"['Drama', 'Crime', 'Thriller']",Ended,45.0,45.0,2012-09-03,2012-09-04,,7.3,68,"{'id': 35, 'name': 'ITV1', 'country': {'name': 'United Kingdom', 'code': 'GB', 'timezone': 'Europe/London'}, 'officialSite': 'https://www.itv.com/'}",ITV1,United Kingdom,GB,,"{'tvrage': 32526, 'thetvdb': 262104, 'imdb': 'tt2404029'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/67/167853.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/67/167853.jpg'}","<p>When a teenage schoolgirl is murdered in a quiet coastal town, a mother finds a pair of stained trainers - and begins to suspect that either her son or stepson may be involved.</p>",1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
68573,https://www.tvmaze.com/shows/68573/the-coming-one,The Coming One,Game Show,Chinese,[],Ended,,,2017-06-17,2020-08-29,,,0,,,,,Tencent QQ,"{'tvrage': None, 'thetvdb': 385522, 'imdb': 'tt11417530'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/459/1149788.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/459/1149788.jpg'}","<p>The quest to produce high-level musical icons, with a panel of three famous commentators. Using music as a vehicle to open paths for young people around the world</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30634,https://www.tvmaze.com/shows/30634/stargate-origins,Stargate Origins,Scripted,English,"['Drama', 'Adventure', 'Science-Fiction']",Ended,10.0,10.0,2018-02-15,2018-03-08,http://stargatecommand.co/,5.9,93,,,,,Stargate Command,"{'tvrage': None, 'thetvdb': 339552, 'imdb': 'tt7161862'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/146/365955.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/146/365955.jpg'}","<p>In 1939, Professor Paul Langford and his daughter Catherine are still grappling with the mysteries of the ancient relic they discovered in the Egyptian desert more than ten years ago. With war looming in Europe and funding running out, these brilliant minds are approaching their lowest ebb. Little do they know, answers are about to present themselves in a dangerous form, when the Nazi Occultist Dr. Wilhelm Brücke approaches their facility with a sinister motive.</p><p>Enlisting the help of two young soldiers, Catherine must use all of her wit and nous as she and her new allies embark on an adventure into the unknown to rescue her father, and save the Earth from an unimaginable darkness.</p><p><b>Stargate Origins</b> explores the journey that sets a young Catherine Langford on the way to helping unlock the secrets of an ancient technology that could change the very course of humanity.</p>",1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27217,https://www.tvmaze.com/shows/27217/fishlocks-choice,Fishlock's Choice,Documentary,English,[],Ended,30.0,30.0,2017-01-19,2017-06-05,,,13,"{'id': 1459, 'name': 'ITV Wales', 'country': {'name': 'United Kingdom', 'code': 'GB', 'timezone': 'Europe/London'}, 'officialSite': None}",ITV Wales,United Kingdom,GB,,"{'tvrage': None, 'thetvdb': None, 'imdb': None}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/107/268643.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/107/268643.jpg'}",<p>Broadcaster Trevor Fishlock meets people across Wales with stories to tell.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39109,https://www.tvmaze.com/shows/39109/dvi-materi,Дві матері,Scripted,Ukrainian,['Drama'],Ended,50.0,50.0,2018-10-16,2018-11-22,https://1plus1.ua/dvi-materi,,14,"{'id': 423, 'name': '1+1', 'country': {'name': 'Ukraine', 'code': 'UA', 'timezone': 'Europe/Zaporozhye'}, 'officialSite': None}",1+1,Ukraine,UA,,"{'tvrage': None, 'thetvdb': None, 'imdb': None}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/171/428708.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/171/428708.jpg'}",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,https://www.tvmaze.com/shows/1728/big-time-in-hollywood-fl,"Big Time in Hollywood, FL",Scripted,English,['Comedy'],Ended,30.0,30.0,2015-03-25,2015-05-27,http://www.cc.com/shows/big-time-in-hollywood--fl,7.5,47,"{'id': 23, 'name': 'Comedy Central', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': 'https://www.cc.com/'}",Comedy Central,United States,US,,"{'tvrage': 37364, 'thetvdb': 282403, 'imdb': 'tt3260472'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/302/755277.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/302/755277.jpg'}","<p>After their parents decide to kick them out, delusional brothers and self-proclaimed filmmakers Ben and Jack Dolfe stage an elaborate ruse to maintain their financial dependence on Mom and Dad. But when their plan takes a dark and dangerous turn, the brothers find themselves embroiled in an increasingly messy situation that threatens both their artistic ambitions and their lives.</p>",,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
21758,https://www.tvmaze.com/shows/21758/tenby-247,Tenby 24/7,Reality,English,[],Ended,30.0,30.0,2011-09-12,2011-10-03,http://www.bbc.co.uk/programmes/b014tj84,,13,"{'id': 12, 'name': 'BBC One', 'country': {'name': 'United Kingdom', 'code': 'GB', 'timezone': 'Europe/London'}, 'officialSite': 'https://www.bbc.co.uk/bbcone'}",BBC One,United Kingdom,GB,,"{'tvrage': None, 'thetvdb': 266364, 'imdb': None}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/78/195975.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/78/195975.jpg'}","<p>Reality series following the people of Tenby. It is one of Wales's busiest holiday resorts, where people work hard during the summer to feast or famine in the winter.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
22675,https://www.tvmaze.com/shows/22675/mr-merlin,Mr. Merlin,Scripted,English,"['Comedy', 'Family', 'Fantasy']",Ended,30.0,30.0,1981-10-07,1982-03-22,,,61,"{'id': 2, 'name': 'CBS', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': 'https://www.cbs.com/'}",CBS,United States,US,,"{'tvrage': None, 'thetvdb': 77272, 'imdb': 'tt0081903'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/83/209845.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/83/209845.jpg'}","<p>Merlin the wizard, who is immortal, is living in modern-day San Francisco, and disguised as Max Merlin, a mechanic.</p>",,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
39665,https://www.tvmaze.com/shows/39665/the-duchess,The Duchess,Scripted,English,['Comedy'],Ended,,24.0,2020-09-11,2020-09-11,https://www.netflix.com/title/80223040,5.9,48,,,,,Netflix,"{'tvrage': None, 'thetvdb': 386788, 'imdb': 'tt9310390'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/272/682085.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/272/682085.jpg'}","<p><b>The Duchess</b> follows the powerful and problematic choices of a fashionably disruptive single mom living in London. Her daughter, Olive, is her greatest love so she debates a second child with her greatest enemy -- Olive's dad. Can two wrongs make another right?</p>",,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
